"academie","taux_reponse_totale","taux_insertion_moyen","lat","long"
"Aix-Marseille",62.7432432432432,39.1655405405405,43.3055875,5.37861021906108
"Amiens",58.9713467048711,42.7077363896848,49.8941708,2.2956951
"Besançon",61.9761336515513,39.6921241050119,47.2380222,6.0243622
"Bordeaux",73.0673854447439,38.8126684636119,44.841225,-0.5800364
"Clermont-Ferrand",68.2835820895522,41.3930348258707,45.7774551,3.0819427
"Corse",58.2644927536232,44.4963768115942,42.18808965,9.06841377142769
"Créteil",50.5628099173554,41.7644628099174,48.7771486,2.4530731
"Dijon",57.8670360110803,41.9916897506925,47.3215806,5.0414701
"Grenoble",66.6709039548023,39.274011299435,45.1875602,5.7357819
"Guadeloupe",41.3777777777778,40.8148148148148,16.2528827,-61.5686855
"Guyane",27.5161290322581,31.6290322580645,4.0039882,-52.999998
"La Réunion",56.3104575163399,45.5326797385621,-21.1309332,55.5265771
"Lille",65.7226502311248,41.9144838212635,50.6365654,3.0635282
"Limoges",51.4530201342282,45.5436241610738,45.8354243,1.2644847
"Lyon",62.5158084914182,40.6187895212285,45.7578137,4.8320114
"Montpellier",59.2935483870968,40.3806451612903,43.6112422,3.8767337
"Nancy-Metz",64.6760563380282,39.7887323943662,48.97836485,6.24376943818618
"Nantes",63.2822665267576,41.4459601259182,47.2186371,-1.5541362
"Nice",66.7048903878583,41.0978077571669,43.7009358,7.2683912
"Normandie",61.181917211329,42.2614379084967,49.0677708,0.3138532
"Orléans-Tours",57.930981595092,42.0935582822086,47.9085083,1.91030502223256
"Paris",50.8640316205534,38.0260869565217,48.8588897,2.32004102172008
"Poitiers",58.9511400651466,41.9381107491857,46.5802596,0.340196
"Polynésie Française",29.2972972972973,29.5135135135135,-17.0243749,-144.6434898
"Reims",55.0357941834452,42.3624161073826,49.2577886,4.031926
"Rennes",68.5477651183173,40.2944785276074,48.1113387,-1.6800198
"Strasbourg",67.7805255023184,41.1901081916538,48.584614,7.7507127
"Toulouse",66.1468005018821,40.3174404015056,43.6044622,1.4442469
"Versailles",50.7362637362637,40.9958791208791,48.80442525,2.1202852709926
